		[0]	dummy entry: 0 easily confused with undefined
shop	n	[27]	商店(英式英語)
store	n	[27]	商店(美式英語)
supermarket	n	[27]	超級市場
Taiwan	n	[27]	臺灣
there	b	[27]	那裡
UK	n	[27]	英國
USA	n	[27]	美國
zoo	n	[27]	動物園
about	p	[28]	大約；關於
after	p	[28]	在…之後
at	p	[28]	在(某處、時刻)
before	pc	[28]	在…之前
behind	p	[28]	在…後面
by	p	[28]	在…旁邊
for	p	[28]	給、為了
from	p	[28]	從…
in	p	[28]	在…裡面、在某短時間裡
in front of	p	[28]	在…前面
inside	p	[28]	在…裡面、向…裡面
near	p	[28]	靠近、接近
next to	p	[28]	在…旁邊
of	p	[28]	…的
off	p	[28]	離開、從…去掉
on	p	[28]	在…上面；在(某一天)
out	p	[28]	向外地
outside	p	[28]	在…外面、向…外面
over	p	[28]	在…上方
than	p	[28]	比
to	p	[28]	向、朝、對著
under	p	[28]	在…下方
up	p	[28]	向上
with	p	[28]	和…一起
he	r	[29]	他
him	r	[29]	他(受詞)
I	r	[29]	我
it	r	[29]	它、牠
me	r	[29]	我(受詞)
nothing	r	[29]	什麼都沒有
she	r	[29]	她
them	r	[29]	他們(受詞)
they	r	[29]	他們
us	r	[29]	我們(受詞)
we	r	[29]	我們
you	r	[29]	你；你們
answer	v	[30]	回答
art	n	[30]	美術、藝術
ask	v	[30]	問
blackboard	n	[30]	黑板
book	n	[30]	書、書本
Chinese	n	[30]	中文
class	n	[30]	課；班級
classroom	n	[30]	教室
draw	v	[30]	畫、描畫
English	n	[30]	英文
eraser	n	[30]	橡皮擦
friend	n	[30]	朋友
glue	n	[30]	膠水
homework	n	[30]	回家作業
library	n	[30]	圖書館
listen	v	[30]	聽
marker	n	[30]	麥克筆
math	n	[30]	數學
music	n	[30]	音樂
paper	n	[30]	紙張
PE	n	[30]	體育(課)
pen	n	[30]	筆、鋼筆
pencil	n	[30]	鉛筆
picture	n	[30]	圖片、照片
question	n	[30]	問題
read	v	[30]	閱讀
ruler	n	[30]	尺
say	v	[30]	說
school	n	[30]	學校
science	n	[30]	科學
speak	v	[30]	說
spell	v	[30]	拼寫
story	n	[30]	故事
student	n	[30]	學生
study	v	[30]	學習
talk	v	[30]	說話、談話
teacher	n	[30]	老師
test	n	[30]	考試
vacation	n	[30]	假期
write	v	[30]	寫
big	j	[31]	大的
heavy	j	[31]	(物品)重的
high	j	[31]	高的
light	j	[31]	輕的
long	j	[31]	長的
pair	n	[31]	一雙、一對
short	j	[31]	短的
small	j	[31]	小的
ball	n	[32]	球
baseball	n	[32]	棒球
basketball	n	[32]	籃球
card	n	[32]	卡片
climb	v	[32]	爬、攀爬
dance	v	[32]	跳舞
doll	n	[32]	玩偶
drum	n	[32]	鼓
fish	v	[32]	釣魚
game	n	[32]	遊戲、比賽
hike	v	[32]	健行
kite	n	[32]	風箏
movie	n	[32]	電影
paint	v	[32]	用顏料畫、刷油漆
piano	n	[32]	鋼琴
play	v	[32]	玩
run	v	[32]	跑、跑步
sing	v	[32]	唱歌
soccer	n	[32]	足球
football	n	[32]	足球
song	n	[32]	歌曲
sport	n	[32]	運動
swim	v	[32]	游泳
toy	n	[32]	玩具
trip	n	[32]	(短程)旅行
win	v	[32]	贏
yo-yo	n	[32]	溜溜球
chopsticks	n	[33]	筷子
cup	n	[33]	杯子
dish	n	[33]	碟子、盤子
fork	n	[33]	叉子
glass	n	[33]	玻璃杯
knife	n	[33]	刀子
spoon	n	[33]	湯匙
afternoon	n	[34]	下午
April	n	[34]	四月
August	n	[34]	八月
clock	n	[34]	時鐘
day	n	[34]	天
December	n	[34]	十二月
early	jb	[34]	早到(的)
evening	n	[34]	傍晚
fall	n	[34]	秋天
February	n	[34]	二月
Friday	n	[34]	星期五
January	n	[34]	一月
July	n	[34]	七月
June	n	[34]	六月
late	jb	[34]	晚到(的)
March	n	[34]	三月
May	n	[34]	五月
Monday	n	[34]	星期一
month	n	[34]	月
morning	n	[34]	早上
night	n	[34]	晚上
November	n	[34]	十一月
now	b	[34]	現在
o'clock	b	[34]	…點鐘
October	n	[34]	十月
Saturday	n	[34]	星期六
season	n	[34]	季節
September	n	[34]	九月
spring	n	[34]	春天
summer	n	[34]	夏天
Sunday	n	[34]	星期日
Thursday	n	[34]	星期四
time	n	[34]	時間
today	n	[34]	今天
tomorrow	n	[34]	明天
Tuesday	n	[34]	星期二
watch	n	[34]	手錶
Wednesday	n	[34]	星期三
week	n	[34]	星期
winter	n	[34]	冬天
year	n	[34]	年
yesterday	n	[34]	昨天
airplane	n	[35]	飛機
airport	n	[35]	機場
bicycle	n	[35]	腳踏車
bike	n	[35]	腳踏車
boat	n	[35]	船
bus	n	[35]	公車
bus stop	n	[35]	公車站
car	n	[35]	車子
drive	v	[35]	開車
fast	jb	[35]	快速的(地)
fly	v	[35]	飛、飛行
motorcycle	n	[35]	摩托車
MRT	n	[35]	捷運
plane	n	[35]	飛機
ride	v	[35]	騎(機車、腳踏車等)
scooter	n	[35]	小型摩托車
ship	n	[35]	(大)船
slow	j	[35]	慢的
station	n	[35]	車站
taxi	n	[35]	計程車
train	n	[35]	火車
truck	n	[35]	卡車
turn	v	[35]	轉彎
cloudy	j	[36]	多雲的
cold	j	[36]	寒冷的
cool	j	[36]	涼爽的
hot	j	[36]	熱的
moon	n	[36]	月亮
rain	n	[36]	雨水
rain	v	[36]	下雨
rainbow	n	[36]	彩虹
rainy	j	[36]	下雨的
sky	n	[36]	天空
snow	n	[36]	雪
snow	v	[36]	下雪
star	n	[36]	星星
sun	n	[36]	太陽
sunny	j	[36]	晴朗的
typhoon	n	[36]	颱風
warm	j	[36]	溫暖的
weather	n	[36]	天氣
wet	j	[36]	潮濕的
wind	n	[36]	風
windy	j	[36]	風大的
how	b	[37]	如何…
what	r	[37]	什麼…
when	b	[37]	何時…
where	b	[37]	在哪裡…
which	d	[37]	哪一個…
who	r	[37]	誰…
whose	d	[37]	誰的…
why	b	[37]	為什麼…
