表二、其他常用 800 字（依字母排列）
passenger	2
path	2
patient	2
pattern	2
pause	2
peace	2
peaceful	2
pepper	2
perfect	2
period	2
personal	2
physics	2
pigeon	2
pile	2
pillow	2
pineapple	2
plain	2
platform	2
pleasant	2
pleased	2
plus	2
poem	2
poison	2
pollute	2
pollution	2
pop music	2
population	2
position	2
positive	2
potato	2
powder	2
praise	2
precious	2
president	2
pressure	2
priest	2
primary	2
prince	2
princess	2
principal	2
principle	2
print	2
printer	2
private	2
produce	2
production	2
professor	2
progress	2
project	2
promise	2
pronounce	2
protect	2
provide	2
pump	2
punish	2
purpose	2
purse	2
puzzle	2
quit	2
railroad	2
railway	2
raincoat	2
rare	2
rather	2
realize	2
receive	2
record	2
recover	2
rectangle	2
recycle	2
refuse	2
regret	2
regular	2
reject	2
remind	2
rent	2
repair	2
respect	2
responsible	2
result	2
return	2
review	2
revise	2
rob	2
role	2
roller skate	2
roller blade	2
roof	2
rub	2
rubber	2
rude	2
ruin	2
rush	2
safety	2
sailor	2
sample	2
sand	2
satisfy	2
saucer	2
scarf	2
scene	2
scenery	2
scientist	2
score	2
seafood	2
search	2
secondary	2
secret	2
section	2
seek	2
seem	2
select	2
selfish	2
semester	2
sense	2
servant	2
serve	2
shall	2
shark	2
sheet	2
shelf	2
shoot	2
shore	2
shrimp	2
shut	2
silence	2
silent	2
silly	2
silver	2
similar	2
sincere	2
single	2
sink	2
skate	2
ski	2
skill	2
skillful	2
skin	2
skinny	2
sleepy	2
slender	2
slice	2
slippers	2
snail	2
sneakers	2
sneaky	2
snowman	2
soap	2
social	2
society	2
soda	2
soft drink	2
softball	2
solve	2
soul	2
sour	2
soy-sauce	2
spaghetti	2
speaker	2
speech	2
speed	2
spirit	2
spot	2
spread	2
state	2
stationery	2
steal	2
steam	2
step	2
stingy	2
stomachache	2
stone	2
storm	2
stormy	2
stove	2
straw	2
stream	2
strike	2
style	2
subway	2
succeed	2
success	2
such	2
sudden	2
suggest	2
suit	2
super	2
supper	2
support	2
survive	2
swallow	2
swan	2
sweep	2
swimsuit	2
symbol	2
system	2
table tennis	2
talent	2
talkative	2
tangerine	2
tank	2
teapot	2
tear	2
temperature	2
tent	2
term	2
terrific	2
textbook	2
therefore	2
thief	2
thought	2
thumb	2
thunder	2
till	2
tiny	2
title	2
tofu	2
toilet	2
tongue	2
toothache	2
toothbrush	2
toward	2
tower	2
trace	2
trade	2
tradition	2
traditional	2
trap	2
travel	2
treasure	2
triangle	2
trousers	2
trumpet	2
trust	2
truth	2
tub	2
tube	2
tunnel	2
turkey	2
underline	2
underpass	2
underwear	2
unique	2
universe	2
university	2
upon	2
upper	2
upstairs	2
usual	2
valley	2
valuable	2
value	2
vendor	2
vest	2
victory	2
village	2
vinegar	2
vocabulary	2
volleyball	2
vote	2
waist	2
war	2
waste	2
waterfalls	2
wedding	2
weekday	2
weight	2
whale	2
wheel	2
whole	2
wild	2
wing	2
winner	2
wok	2
wolf	2
women's room	2
wood	2
woods	2
worm	2
wound	2
wrist	2
yell	2
youth	2
