字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
adolescence	noun	青春期		中高級			L6
adolescent	adj./noun	青春期的；青少年		中高級			L5
adopt	verb	領養、接受、採納		初級			L4
adore	verb	熱愛、愛慕		中高級			L5
adult	noun/adj.	成年人；成年的、成熟的、僅限成人的		初級	L7	800	L2
adulthood	noun	成年		中高級	L7
advance	verb	(使)前進、使發展、促進		初級			L2
advance	noun	前進、發展、進展		初級			L2
advance	adj.	預先的、事先的		初級			L2
advanced	adj.	先進的、高級的、(發展)後期的		中級			L3
advancement	noun	發展、促進、晉升		中高級
advantage	noun	優點、優勢、好處		初級			L3
advent	noun	出現、到來		中高級
adventure	noun	冒險、冒險經歷、奇遇		初級			L3
adverb	noun	副詞	=adv.	中高級
adverse	adj.	不利的、負面的、有害的		中高級			L5
advert	noun	廣告	= ad, advertisement	中高級
advertise	verb	登廣告、徵聘、宣傳	= advertize	中級			L3
advertisement	noun	廣告	= ad	初級		800	L3
advertiser	noun	廣告商、登廣告者		中高級
advertising	noun	廣告業、廣告活動		中高級
advice	noun	建議、忠告		初級		800	L2
advisable	adj.	明智的、可取的		中高級
advise	verb	建議、忠告、正式告知		初級		800	L3
adviser	noun	顧問、忠告者	= advisor	中級			L3
advisory	adj.	顧問的、諮詢的		中高級			L6
advisory	noun	公告、警報		中高級			L6
advocate	noun	提倡者、擁護者		中高級	L7		L5
aerial	adj./noun	從飛機上的、空中的		中高級
aerial	noun	天線	noun = antenna (American English)	中高級
aerospace	noun/adj.	航空航天業(的)、航空航天技術(的)		中高級
aesthetic	adj.	美感的、審美的	=aesthetical, esthetic, esthetical	中高級			L6
aesthetics	noun	美學、美感	= esthetics	中高級
affair	noun	事務、事件		初級			L2
affect	verb	影響、(疾病)感染		初級	L2	800	L2
affection	noun	喜愛、鍾愛		中級			L5
affectionate	adj.	表示關愛的、充滿深情的		中高級			L6
affiliate	noun	附屬機構、分公司		中高級			L6
affiliate	verb	使隸屬於、加入、為...工作		中高級			L6
affirm	verb	申明、斷言		中高級			L6
afflict	verb	折磨、使痛苦		中高級
afford	verb	買得起、承擔、提供		中級			L3
afraid	adj.	害怕的、擔憂的		初級		1200	L1
after	prep./conj./adv.	在...後面；在...以後；以後、後來		初級		1200	L1
aftermath	noun	後果、餘波		中高級
afternoon	noun	下午		初級		1200	L1
afterward	adv.	後來	=afterwards (British English)	中級			L3
again	adv.	又、再一次		初級		1200	L1
against	prep.	緊貼著、倚靠著；逆著...的方向、迎著；反對、與...相反；以...為背景、襯托；防...、抗...		初級		800	L2
age	noun	年齡、老化；時代、時期		初級		1200	L1
age	verb	衰老、使變老、使成熟		初級			L1
aged	adj.	…歲的、年邁的		中級
agency	noun	代理機構、政府專門機構		中級			L4
agenda	noun	議程、待處理事項		中高級			L5
agent	noun	代理商、代理人、經紀人		中級			L4
aggravate	verb	加重、惡化		中高級
aggregate	adj./noun/verb	總計(的)、合計(的)		中高級	L6
aggression	noun	侵略、挑釁		中高級			L5
aggressive	adj.	好鬥的、挑臖的；積極進取的		中級			L4
aging	adj./noun	變老的；老化	= ageing	中高級
agitate	verb	鼓動、煽動；激怒		中高級
agitation	noun	焦慮不安、煩亂；煽動、鼓動		中高級
ago	adv.	在…以前		初級		1200	L1
agony	noun	極度痛苦、苦惱		中高級			L5
agree	verb	同意、贊成、相符		初級		1200	L1
agreeable	adj.	令人愉悅的、宜人的；欣然同意的、願意接受的		中級			L4
agreement	noun	協議、意見一致、同意		中級			L1
agricultural	adj.	農業的		中高級			L5
agriculture	noun	農業		中級			L3
ahead	adv.	在前面、領先、提早		初級		1200	L2
AI	noun	人工智慧	= artificial intelligence	中高級
aid	noun/verb	幫助、援助；救援物資、輔助設備		初級	L7		L2
