字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
distributed	adj.	[電腦]分散式的、分布的		中高級	L1
distribution	noun	分配、發送		中級			L4
distributor	noun	經銷商		中高級
district	noun	地區、行政區		中級			L4
distrust	verb/noun	不信任		中級
disturb	verb	打擾、妨礙		中級			L4
disturbance	noun	干擾、騷動		中級			L6
disturbed	adj.	有精神病的、不幸的、心煩的		中高級
disturbing	adj.	令人不安的、引起煩惱的		中高級
ditch	noun	水溝		中級			L3
ditch	verb	丟棄		中級			L3
dive	verb/noun	跳水、潛水		中級			L3
diverse	adj.	多元的、不同的		中高級	L6		L4
diversify	verb	使多樣化		中高級			L6
diversion	noun	分散注意力之物；消遣、娛樂		中高級			L6
diversity	noun	差異、多樣性		中高級			L4
divert	verb	使轉向、改道、使分心		中高級			L6
divide	verb	分開、劃分		初級		800	L2
dividend	noun	股利		中高級			L6
divine	adj.	神的、神聖的、絕妙的		中級			L4
division	noun	分開；部門		初級			L2
divorce	noun/verb	離婚		中級			L4
dizzy	adj.	頭暈的		初級		800	L3
do	verb	做		初級		1200	L1
do	aux.	助動詞		初級		1200	L1
dock	noun/verb	碼頭；停靠碼頭		中級			L3
doctor	noun	醫生、博士		初級		1200	L1
doctrine	noun	教義、信條		中高級			L5
document	noun	文件		初級	L3		L5
documentary	noun/adj.	紀錄片；紀實的、文書的		中高級			L5
dodge	verb/noun	躲避、閃躲		中高級		800	L4
dodge ball	noun	躲避球		初級
dog	noun	狗		初級		1200	L1
doll	noun	玩偶		初級		1200	L1
dollar	noun	元	= buck	初級		1200	L1
dolphin	noun	海豚		初級		800	L3
domain	verb	提倡、支持		中高級	L6
domain	noun	領域、範圍		中高級	L6		L5
dome	noun	圓屋頂、穹頂		中高級			L5
domestic	adj.	家庭的；國內的		中級	L4		L2
dominant	adj.	主要的、佔優勢的		中級			L4
dominate	verb	支配、統治、佔首要地位		中級	L3		L4
donate	verb	捐贈		中級			L5
donation	noun	捐贈(物)		中高級			L5
donkey	noun	驢		初級		800	L3
donor	noun/adj.	捐贈者、器官捐獻者		中高級			L5
doom	noun	厄運、死亡		中高級			L6
doom	verb	注定(失敗)		中高級			L6
doomed	adj.	注定失敗的		中高級
door	noun	門		初級		1200	L1
doorstep	noun	門階		中高級
doorway	noun	門口		中高級			L5
dormitory	noun	宿舍	= dorm	中級			L6
dosage	noun	(藥)劑量		中高級
dose	noun	一劑		中級			L3
dot	noun	小圓點		初級		1200	L2
double	adj./verb/noun	雙重的；加倍；兩倍		初級		800	L2
Double Tenth Day	noun	雙十節		初級
doubt	noun/verb	疑慮；懷疑、對…不確信		初級		800	L2
doubtful	adj.	懷疑的、不確定的、不太可能的		中級			L3
doubtless	adv.	無疑地、必定地		中高級
dough	noun	麵糰		中高級			L5
doughnut	noun	甜甜圈	= donut	初級		800	L3
dove	noun	鴿子		中級			L2
down	adv./prep.	向下；在下方		初級		1200	L1
down	adj.	情緒低落		初級		1200	L1
down	noun	羽絨		初級			L1
download	verb	下載		初級		1200	L2
downstairs	adv./adj.	朝樓下、在樓下；樓下的		初級		800	L2
downtown	adv./adj./noun	往市區；市區的；市區		初級		800	L3
downward	adv.	向下		中級			L6
doze	verb/noun	打瞌睡、小睡		中級			L6
dozen	noun	一打		初級		1200	L1
draft	noun	草稿		中級	L5		L4
draft	verb	起草、草擬；徵召入伍、徵募		中級	L5		L4
drag	verb	拖、拉		中級			L3
drag	noun	令人厭煩的事		中級			L3
dragon	noun	龍		初級		800	L2
Dragon Boat Festival	noun	端午節		初級
dragonfly	noun	蜻蜓		中級			L3
drain	verb/noun	排出液體；排水管		中級			L3
drainage	noun	排水系統		中高級
drama	noun	戲劇		初級	L8	800	L2
dramatic	adj.	戲劇(性)的		中級			L3
drape	verb	披、垂掛		中高級
drape	noun	(窗)簾		中高級
drastic	adj.	猛烈的、嚴厲的		中高級			L6
draw	verb	畫		初級		1200	L1
drawback	noun	缺點、不利條件		中高級
drawer	noun	抽屜		初級		1200	L2
dread	noun/verb	擔心、懼怕		中級			L4
dreadful	adj.	可怕的、糟糕的		中級			L5
dream	noun/verb	夢；作夢		初級		1200	L1
dreary	adj.	陰鬱的、沉悶的		中高級
dress	verb/noun	著裝；洋裝		初級		1200	L1
dressed	adj.	穿好衣服的、打扮好的		中級
dresser	noun	斗櫃、衣櫃、梳妝台		初級		800	L6
dressing	noun	穿戴；(拌沙拉等的)調味醬		中高級			L6
drift	verb/noun	漂流、漂泊		中級			L4
drill	noun/verb	鑽(頭)、鑽孔；演習、訓練、反覆練習		中級			L4
drink	verb/noun	喝；飲料		初級		1200	L1
drip	verb/noun	滴下；水滴、滴水聲		中級			L3
drive	verb/noun	開車；車程		初級		1200	L1
driver	noun	駕駛員		初級		1200	L1
driveway	noun	車道	= drive (road)	中高級			L5
drizzle	noun/verb	毛毛雨;下毛毛雨		中高級
drop	verb/noun	使滴落、丟下、下降；(一)滴		初級		1200	L1
drought	noun	乾旱		中級			L5
drown	verb	溺死、淹沒		中級			L3
drowsy	adj.	昏昏欲睡的		中級			L4
drug	noun	藥品、毒品		初級			L2
drugstore	noun	藥局		初級		800	L3
drum	noun	鼓		初級		1200	L1
drunk	adj./noun	酒醉的；醉漢		中級			L3
dry	adj./verb	乾的；弄乾		初級		1200	L1
dryer	noun	烘乾機、吹風機 		初級		800	L2
dual	adj.	兩的、雙重的		中高級			L6
dub	verb	把…稱為、起綽號；配音		中高級
dubious	adj.	懷疑的、可疑的、未定的		中高級			L6
duck	noun	鴨		初級		1200	L1
duckling	noun	小鴨		中級
due	adj.	到期的、預計的		中級			L2
dull	adj.	枯燥乏味的、沒有光澤的		中級			L2
dumb	adj.	(口語)傻的、愚蠢的		初級		800	L3
dump	verb/noun	傾倒、拋棄；垃圾場		中級			L3
dumpling	noun	餃子		初級		800	L3
duplicate	verb/noun/adj.	複製；複製品；複製的		中高級
durable	adj.	耐用的、持久的		中級			L4
duration	noun	持續期間		中級	L9		L6
during	prep.	在…期間		初級		1200	L1
dusk	noun	黃昏		中級			L6
dust	noun/verb	灰塵、塵土；擦去灰塵		中級			L3
dusty	adj.	佈滿灰塵的		中級			L4
duty	noun	責任、職責		初級		800	L2
dwarf	verb/noun/adj.	使顯得矮小；侏儒；矮小的		中高級			L6
dwell	verb	居住		中高級			L6
dwelling	noun	住所		中高級			L6
dye	noun/verb	染料；染色		中級			L4
dying	adj.	臨終的		中高級
dynamic	adj.	有活力的、不斷變化的		中級	L7		L4
dynamite	noun/verb	炸藥、炸毀		中高級
dynasty	noun	朝代		中級			L4
each	pron./adj./adv.	每個		初級		1200	L1
eager	adj.	熱切的、渴望的		中級			L3
eagle	noun	鷹		初級		800	L2
ear	noun	耳		初級		1200	L1
early	adj./adv.	早的；早		初級		1200	L1
earn	verb	賺得		初級		800	L2
earnest	adj./noun	認真的、誠摯的；認真、誠摯		中級			L4
earnings	noun	薪水、收入		中級
earphones	noun	耳機		中高級
earring	noun	耳環		中級			L2
earth	noun	地球		初級		1200	L1
earthquake	noun	地震		中級		1200	L2
ease	verb/noun	減輕、緩和；輕易		中級		800	L2
east	noun/adv./adj.	東方；向東；東邊的		初級		1200	L1
Easter	noun	復活節		初級		1200
eastern	adj.	東方的		初級			L2
easy	adj.	容易的		初級		1200	L1
eat	verb	吃		初級		1200	L1
ebb	noun/verb	退潮、衰退		中高級
eccentric	adj./noun	古怪的、怪人		中高級			L6
echo	noun/verb	回聲、共鳴；產生回聲、迴響		中級			L3
eclipse	noun	日蝕、月蝕；衰落		中高級			L6
eclipse	verb	遮蔽、使黯然失色		中高級			L6
ecological	adj.	生態學的		中高級			L5
ecology	noun	生態(學)		中高級			L5
economic	adj.	經濟的		中級	L1		L4
economical	adj.	經濟實惠的、節約的		中級			L4
economics	noun	經濟學		中級			L4
economist	noun	經濟學家		中級			L4
economy	noun	經濟		中級	L1		L4
ecosystem	noun	生態系統		中高級			L5
ecstasy	noun	狂喜、陶醉		中高級
ecstatic	adj.	狂喜的		中高級
edge	noun	邊緣		初級		800	L2
edged	adj.	有稜(邊)的、有刀刃的		中高級
edible	adj.	可食用的		中級			L6
edit	verb	編輯		中級	L6		L3
edition	noun	版本		中級			L2
editor	noun	編輯		中級			L3
editorial	adj./noun	編輯的；社論、評論		中級			L6
educate	verb	教育		中級			L3
educated	adj.	受過教育的、有教養的		中高級
education	noun	教育		初級		800	L2
educational	adj.	教育的		中級			L3
eel	noun	鰻		中高級
effect	noun/verb	結果、效果；達到…的效果		初級			L2
effective	adj.	有效的		初級			L2
efficiency	noun	效率		中級			L4
efficient	adj.	有效率的		中級			L3
effort	noun	努力		初級		800	L2
egg	noun	蛋		初級		1200	L1
ego	noun	自我、自尊		中高級			L5
eight	number/pron./noun/adj.	八		初級		1200
eighteen	number/pron./noun/adj.	十八		初級		1200
eighty	number/pron./noun/adj.	八十		初級		1200
either	adv.	也(否定句)		初級		1200	L1
either	pron./adj./conj.	(兩者中)任一個		初級		1200	L1
eject	verb	逐出、彈出		中高級
elaborate	adj./verb	詳盡的、精美的；詳盡闡述		中級			L5
elapse	verb	(時間)消逝		中高級
elastic	adj.	有彈性的		中級			L4
elbow	noun/verb	手肘；用肘推		中級			L3
elder	noun/adj.	長者；年長的		初級		800	L2
elderly	adj.	年長的		中級			L3
elect	verb	推選、選舉		初級		800	L3
election	noun	選舉		初級			L3
electoral	adj.	選舉的		中高級
electorate	noun	全體選民		中高級
electric	adj.	電的		初級		800	L2
electrical	adj.	電的		中級			L2
electrician	noun	電工		中級			L6
electricity	noun	電力		中級			L3
electron	noun	電子		中高級
electronic	adj.	電子的		中級			L3
electronics	noun	電子學、電子儀器		中級			L4
elegant	adj.	優雅的		中級			L4
element	noun	元素、要素		初級	L2		L3
elementary	adj.	初級的、基礎的		中級		1200	L4
elementary school	noun	小學		初級
elephant	noun	象		初級		1200	L1
elevate	verb	使上升、提高		中高級			L6
elevated	adj.	升高的、高尚的		中高級
elevation	noun	海拔、高處、提升		中高級
elevator	noun	電梯		中級			L3
eleven	number/pron./noun/adj.	十一		初級		1200
elicit	verb	引起		中高級
eligibility	noun	資格、符合條件		中高級
eligible	adj.	有資格的、合適的		中高級			L5
eliminate	verb	排除、淘汰		中級	L7		L4
elite	noun/adj.	精英；精英的		中高級
eloquence	noun	口才、雄辯		中高級
eloquent	adj.	口才好的、雄辯的		中高級			L5
else	adv./adj.	其他		初級		1200	L1
elsewhere	adv.	(到)別處		中級			L4
email	noun/verb	電子郵件；寄電子郵件		初級		1200	L1
embargo	noun/verb	禁運、禁止		中高級
embark	verb	上船(或飛機等)；開始、著手做		中高級
embarrass	verb	使尷尬		初級		800	L4
embarrassment	noun	難堪、窘迫		中高級			L4
embassy	noun	大使館		中級			L4
embed	verb	埋置、嵌入		中高級
embody	verb	體現、具體化		中高級
embrace	verb/noun	擁抱		中高級			L5
embrace	verb	欣然接受、包含		中高級			L5
embryo	noun/adj.	胚胎、初期		中高級
emerge	verb	浮現、顯露		中級	L4		L4
emergence	noun	出現		中高級
emergency	noun	緊急、突發狀況		中級			L3
emigrant	noun	(移居國外的)移民		中高級			L6
emigrate	verb	移居(國外)		中高級			L6
emigration	noun	移民(國外)		中高級			L6
emission	noun	(氣體、熱、光等)排放或散發、排放物		中高級			L5
emit	verb	排放或散發(氣體、熱、光等)		中高級
emotion	noun	情感、情緒		初級		800	L2
emotional	adj.	感情的、激起情感的		中級			L3
emperor	noun	皇帝		中級			L3
emphasis	noun	強調、重點		中級	L3		L4
emphasize	verb	強調	= emphasise (British English)	初級		800	L2
emphatic	adj.	強調的、堅決的、明確的		中高級
empire	noun	帝國		中級			L4
empirical	adj.	實證的、經驗主義的		中高級	L7
employ	verb	雇用		初級		800	L2
employee	noun	雇員、員工		中級			L2
employer	noun	雇主、老闆		中級			L2
employment	noun	工作、就業		中級			L2
empty	adj./verb	空的；使…變空		初級		800	L2
enable	verb	使能夠		中級	L5		L3
enact	verb	制定、頒布		中高級
enclose	verb	圍住；(隨信)附上		中級			L4
enclosure	noun	圈地、圍起來的區域；(信的)附件		中高級
encounter	verb/noun	遭遇、遇到；偶遇		中級	L10		L4
encourage	verb	鼓勵		初級			L2
encouragement	noun	鼓勵		中級			L2
encyclopedia	noun	百科全書		中高級			L6
end	noun/verb	結束、末端；結束		初級		1200	L1
endanger	verb	危害、危及		中級			L4
endeavor	verb/noun	努力	= endeavour (British English)	中高級			L6
ending	noun	結局		中級			L2
endless	adj.	無盡的、無休止的		中高級
endorse	verb	贊同、代言、(簽名)背書		中高級			L5
endow	verb	捐贈、賦予		中高級
endowment	noun	捐贈、捐款、天賦		中高級			L6
endurance	noun	耐久力		中級			L6
endure	verb	忍耐、持久		中級			L4
enemy	noun	敵人		初級		800	L2
energetic	adj.	有活力的		中級	L5	800	L3
energize	verb	使精力充沛、供給能量		中高級
energy	noun	活力、精力；能源		初級	L5	800	L2
enforce	verb	實施、執行、強迫		中級	L5		L4
enforcement	noun	執行（法律）		中高級			L4
engage	verb	吸引(注意力)、從事、忙於；訂婚		中級			L3
engaged	adj.	忙於…的、訂婚的		中高級
engagement	noun	訂婚、約定		中高級			L3
engine	noun	引擎		初級		800	L2
engineer	noun	工程師		初級		1200	L1
engineering	noun	工程學		中級			L4
England	noun	英格蘭		初級
English	adj./noun	英語的、英格蘭的；英語		初級		1200
enhance	verb	提高、增進		中級	L6		L6
enjoy	verb	享受		初級		1200	L1
enjoyable	adj.	令人愉快的		中級			L3
enjoyment	noun	愉快、享受		中級			L1
enlarge	verb	擴展、放大		中級			L4
enlargement	noun	擴展、放大		中級			L4
enlighten	verb	啟發、教導		中高級			L6
enormous	adj.	龐大的		中級	L10		L4
enough	adv./adj./pron.	足夠的		初級		1200	L1
enrich	verb	使富裕、使豐富		中高級			L6
enroll	verb	註冊、登記	= enrol (British English)	中級			L6
ensue	verb	接著發生		中高級
ensure	verb	保證、確保		中級	L3		L4
entail	verb	牽涉、使必要		中高級
enter	verb	進入		初級		1200	L1
enterprise	noun	企業、事業		中級			L5
entertain	verb	娛樂、款待		中級			L4
entertainer	noun	藝人、表演者		中級
entertainment	noun	娛樂(活動)		中級			L4
enthusiasm	noun	熱忱		中級			L4
enthusiast	noun	熱衷…的人		中高級
enthusiastic	adj.	有熱忱的		中級			L5
entire	adj.	全部的		初級			L2
entitle	verb	使有資格、權利；命名		中級			L5
entity	noun	實體、獨立存在體		中高級	L5		L5
entrance	noun	入口		初級		800	L2
entrepreneur	noun	企業家、創業者		中高級			L5
entry	noun	進入、入口；條目		中級			L3
envelope	noun	信封		初級		1200	L1
envious	adj.	羨慕的、嫉妒的		中級			L5
environment	noun	環境		初級	L1	800	L2
environmental	adj.	環境的		中級	L1		L2
environmentalist	noun	環保主義者、環保人士		中高級
envisage	verb	想像、設想		中高級
envoy	noun	外交使節		中高級
envy	noun/verb	羨慕、妒忌		初級		800	L3
enzyme	noun	酶、酵素		中高級
epic	noun/adj.	史詩；史詩的、壯麗的		中高級
epidemic	noun/adj.	流行疾病；氾濫的		中高級			L5
episode	noun	一個事件、一集(劇)		中高級			L5
epoch	noun	時代、紀元		中高級
EQ	noun	情緒商數	= emotional quotient	中高級
equal	adj./verb/noun	相等的；相等；相等的人事物		初級		800	L2
equality	noun	平等		中級			L4
equate	verb	等於、使相等		中高級	L2		L6
equation	noun	方程式、平衡		中高級			L5
equator	noun	赤道		中高級
equilibrium	noun	平衡、均勢		中高級
equip	verb	裝備、配備；使有能力		中級	L7		L4
equipment	noun	設備、器材		中級	L7		L4
equity	noun	公平、公正		中高級			L5
equivalent	adj./noun	相等的；相等物		中級	L5		L5
era	noun	年代		中級			L4
erase	verb	消除、擦掉		中級			L3
eraser	noun	橡皮擦		初級		1200	L1
erect	verb	建造、豎立		中級			L5
erode	verb	腐蝕、侵蝕		中高級	L9
erosion	noun	腐蝕、侵蝕		中高級
erotic	adj.	色情的		中高級
errand	noun	差事、跑腿		中級			L5
erroneous	adj.	錯誤的		中高級	L4
error	noun	錯誤		初級	L4	1200	L1
erupt	verb	(火山)爆發、突然發生		中高級			L5
eruption	noun	爆發		中高級
escalate	verb	逐步擴大、惡化		中高級
escalator	noun	電扶梯		中級			L5
escape	verb/noun	逃脫、退出		中級			L2
escort	noun/verb	護衛者；護送		中高級			L6
especially	adv.	尤其		初級		800	L2
essay	noun	論說文、文章		中級			L2
essence	noun	本質；精油		中高級			L5
essential	adj.	不可或缺的、本質的		中級			L4
essentially	adv.	本質上、基本上		中級
establish	verb	建立		中級	L1		L4
established	adj.	已確立的、著名的		中高級
establishment	noun	建立、機構		中高級			L4
estate	noun	地產、資產、莊園		中級	L6		L5
esteem	noun/verb	尊敬		中高級			L6
estimate	verb/noun	估計、估算		中級	L1		L4
etc.	adv.	等等	= et cetera	中級
eternal	adj.	永恆的、永不停止的		中高級			L5
eternity	noun	永恆、永生、漫長時間		中高級			L6
ethic	noun	倫理準則		中高級	L9		L5
ethical	adj.	倫理的、道德的		中高級	L9		L5
ethics	noun	倫理(學)、倫理觀		中高級			L5
ethnic	adj.	種族的、民族的		中高級	L4		L4
Europe	noun	歐洲		初級
European	adj./noun	歐洲(人)的；歐洲人		初級
evacuate	verb	撤離、疏散		中高級			L6
evacuation	noun	撤離、疏散		中高級
evaluate	verb	評估、評價		中級	L2		L4
evaluation	noun	評估、評價		中高級			L4
evaporate	verb	蒸發、消失		中高級
evaporation	noun	蒸發、消失		中高級
eve	noun	前夕		初級		1200	L2
even	adj.	平坦的、均等的		中級			L1
even	adv.	甚至、更加		初級		1200	L1
evening	noun	傍晚、晚上		初級		1200	L1
event	noun	事件、活動		初級		800	L2
eventual	adj.	最終的		中級	L8		L4
ever	adv.	從來、在任何時候		初級		1200	L1
evergreen	adj./noun	常青的；常青植物		中高級			L6
every	adj.	每個		初級		1200	L1
everybody	pron.	每個人		初級		1200	L1
everyday	adj.	每天的、日常的		中級
everyone	pron.	每人	= everybody	初級		1200	L1
everything	pron.	每件事		初級		1200	L1
everywhere	adv.	到處		初級		800
evidence	noun/verb	證據；作為證據、證明		中級	L1		L4
evident	adj.	顯而易見的		中級	L1		L4
evil	noun/adj.	邪惡；邪惡的		初級		800	L2
evoke	verb	喚起、引起		中高級			L6
evolution	noun	演化、演變		中級	L5		L5
evolve	verb	演化、演變		中級	L5		L5
exact	adj.	確切的		初級			L2
exactly	adv.	準確地、完全、確實如此		中級
exaggerate	verb	誇張、誇大		中級			L4
exaggeration	noun	誇張、誇大		中高級			L5
exam	noun	考試		初級		800	L2
examination	noun	考試；檢查、審查、調查		中級			L2
examine	verb	檢查		初級			L2
examinee	noun	應試者、受檢者		中高級			L6
examiner	noun	考官		中級			L6
example	noun	例子		初級		1200	L1
exceed	verb	超出		中高級	L6		L5
exceedingly	adv.	極度地		中高級
excel	verb	勝過、優於		中高級			L6
excellence	noun	卓越		中級			L3
excellent	adj.	傑出的		初級		1200	L1
except	conj./prep.	除…之外		初級		1200	L1
exception	noun	例外		中級			L4
exceptional	adj.	卓越的、非比尋常的		中級			L5
excerpt	noun/verb	摘錄		中高級			L6
excess	adj.	過量的		中高級			L6
excess	noun	過量、超過		中高級			L6
excessive	adj.	過度的、過量的		中高級			L5
exchange	noun/verb	交換、兌換		中級			L3
excite	verb	使興奮		初級		800	L2
excitement	noun	興奮		中級			L2
exclaim	verb	驚呼、大聲叫嚷		中級			L5
exclude	verb	拒絕在外、排除		中高級	L3		L5
exclusion	noun	排除(之事物)		中高級			L6
exclusive	adj.	除外的；專用的、獨有的		中高級			L5
exclusive	noun	獨家新聞		中高級			L5
excursion	noun	遠足、短途旅行		中級
excuse	noun	藉口		初級		1200	L2
excuse	verb	原諒		初級		1200	L2
execute	verb	執行；處死		中高級			L5
execution	noun	執行；處以死刑		中高級			L5
executive	noun	高層主管、執行委員會		中級			L5
executive	adj.	執行的、行政的		中級			L5
exemplify	verb	為…典型、舉例說明		中高級
exempt	adj./verb	豁免的、免除的；豁免、免除		中高級			L6
exercise	noun/verb	運動、練習；運動		初級		1200	L1
exert	verb	施加、行使		中高級			L6
exhaust	verb	使精疲力盡、用光		中級			L4
exhaust	noun	廢氣		中級			L4
exhibit	verb	展覽；表現出		中級	L8		L4
exhibit	noun	展覽(品)		中級	L8		L4
exhibition	noun	展覽；表現		中級			L3
exile	noun/verb	流亡(者)、放逐		中高級			L5
exist	verb	存在		初級		800	L2
existence	noun	存在		中級			L2
existing	adj.	現行的、現存的		中高級
exit	noun/verb	出口；離開		初級		800	L2
exotic	adj.	異國的、奇特的		中高級			L5
expand	verb	擴展、擴大		中級	L5		L4
expansion	noun	擴展、擴大		中級			L4
expect	verb	預料、期待		初級		1200	L1
expectation	noun	期望		中級			L3
expedition	noun	遠征(隊)、探險(隊)		中高級			L5
expel	verb	驅逐、開除；排出		中高級
expend	verb	花費、耗費		中高級
expenditure	noun	支出、耗費		中高級			L6
expense	noun	費用、開銷		中級			L2
expensive	adj.	昂貴的		初級		1200	L1
experience	noun/verb	經驗；體驗		初級		1200	L1
experienced	adj.	有經驗的		中高級
experiment	noun/verb	實驗、試驗		中級			L3
experimental	adj.	實驗性的		中級			L4
expert	noun	專家		初級	L6		L2
expertise	noun	專業知識、專門技術		中高級	L6		L5
expiration	noun	到期、期滿		中高級			L6
expire	verb	到期、(期限)終止		中高級			L6
explain	verb	解釋		初級		1200	L1
explanation	noun	解釋		中級			L4
explicit	adj.	詳盡的、明確的；露骨的、赤裸的		中高級	L6		L5
explode	verb	爆炸		中級			L3
exploit	verb	剝削、利用、開採		中級	L8		L5
exploration	noun	探索、研究調查		中高級			L5
explore	verb	探索		中級			L3
explorer	noun	探險者		中級
explosion	noun	爆炸		中級			L4
explosive	adj./noun	易爆的、爆炸性的；爆炸物		中級			L4
export	noun/verb	出口、輸出		初級	L1		L3
expose	verb	暴露、揭露		中級	L5		L4
exposition	noun	闡述；博覽會		中高級
exposure	noun	暴露、揭露；曝光、宣傳		中級			L4
express	verb	表達		初級		800	L2
express	noun	快車、快遞		初級		800	L2
express	adj.	快的		初級		800	L2
expression	noun	表達；表情；措詞		中級			L2
expressive	adj.	表現…的、富有表情的		中高級			L3
expulsion	noun	驅逐、排出		中高級
exquisite	adj.	精美的、精緻的		中高級
extend	verb	擴大、延長		中級			L4
extension	noun	延長、擴大、延伸；電話分機		中級			L5
extensive	adj.	廣闊的、廣泛的		中級			L5
extent	noun	程度、範圍		中級			L4
exterior	noun/adj.	外表；外部的、外面的		中高級			L5
external	adj.	外部的、外面的		中高級	L5		L5
externals	noun	外貌、外觀		中高級
extinct	adj.	絕種的		中級			L5
extinguish	verb	熄滅、使破滅		中高級
extra	adj.	額外的		初級		800	L2
extract	verb	抽出、提取		中高級	L7		L6
extract	noun	萃取物；摘要		中高級	L7		L6
extracurricular	adj.	課外的		中高級			L6
extradite	verb	引渡(逃犯)		中高級
extraordinary	adj.	非凡的、異常的		中級			L5
extravagant	adj.	奢侈浪費的、過度的		中高級
extreme	adj./noun	極度的、極端的；極端		中級			L3
extremist	noun/adj.	極端分子(的)		中高級
eye	noun	眼睛		初級		1200	L1
eyebrow	noun	眉毛		中級			L2
eyelash	noun	睫毛	= lash	中高級			L6
eyelid	noun	眼皮		中高級			L6
eyesight	noun	視力		中級			L6
fable	noun	寓言		中級			L6
fabric	noun	織品、布料；結構		中高級			L5
fabricate	verb	偽造、杜撰		中高級
fabulous	adj.	驚人的、極好的		中高級			L5
face	noun/verb	臉；面對		初級		1200	L1
facet	noun	面、方面		中高級
facial	adj.	臉部的		中級			L4
facilitate	verb	使容易、促進		中高級	L5		L5
facility	noun	設施、設備		中級			L4
fact	noun	事實		初級		1200	L1
faction	noun	(組織內部的)派系		中高級			L6
factor	noun	因素		中級	L1		L2
factory	noun	工廠		初級		1200	L1
faculty	noun	全體教職員；才能、(身體)機能		中高級			L5
fad	noun	一時的流行		中高級
fade	verb	變淡、逐漸消失		中級			L3
Fahrenheit	noun	華氏溫度		中高級			L6
fail	verb	失敗、不及格		初級		1200	L1
failure	noun	失敗、故障		初級			L2
faint	adj.	微弱的；昏眩的		中級			L3
faint	verb/noun	昏倒		中級			L3
fair	adj.	公平的		初級		800	L2
fair	noun	市集、商品展覽會、園遊會		初級		800	L2
fairly	adv.	相當地、公正地		中級			L3
fairy	noun	仙子、小精靈		中級			L3
faith	noun	信心、信仰		中級			L3
faithful	adj.	忠誠的、如實的		中級			L4
fake	adj./noun/verb	假的、偽造的；假貨；偽造、佯裝		中級			L3
fall	noun	秋天	= autumn	初級		1200	L1
fall	verb	跌倒、掉落、下降		初級		1200	L1
false	adj.	錯誤的、假的		初級			L2
falter	verb	動搖、猶豫；蹣跚；結巴		中高級			L6
fame	noun	名氣		中級			L4
familiar	adj.	熟悉的		中級			L3
familiarity	noun	熟悉、親近		中高級			L6
family	noun	家人、家庭		初級		1200	L1
famine	noun	饑荒		中高級
famous	adj.	著名的		初級		1200	L1
fan	noun	迷、狂熱愛好者；扇		初級		1200	L1
fancy	adj.	花俏的、昂貴的、豪華的		初級		800	L3
fantastic	adj.	極好的		初級		800	L4
fantasy	noun	幻想、想像、奇幻文學		中級			L4
far	adv./adj.	遠、非常；遠的		初級		1200	L1
fare	noun	(交通工具)費		中級			L3
farewell	noun/adj.	告別；告別的		中級			L4
farm	noun	農場		初級		1200	L1
farmer	noun	農夫		初級		1200	L1
farming	noun	農業、畜牧業、養殖業		中級
fascinate	verb	迷住		中級			L5
fascination	noun	魅力、著迷		中高級			L6
fashion	noun	流行時尚		初級			L2
fashion	verb	塑造成、製作		初級			L2
fashionable	adj.	時髦的		初級		800	L3
fast	adj./adv.	快的；快速地		初級		1200	L1
fasten	verb	扣緊、使牢固		中級			L4
fat	adj./noun	肥胖的；脂肪		初級		1200	L1
fatal	adj.	致命的、災難性的		中級			L4
fate	noun	命運		中級			L2
father	noun	父親		初級		1200	L1
fatigue	noun	疲憊、勞累		中高級			L5
fatty	adj.	肥胖的、脂肪多的		中高級
faucet	noun	水龍頭		初級		800	L3
fault	noun	過錯、缺點		初級		800	L2
faulty	adj.	有缺陷的		中級
favor	verb/noun	支持、偏袒；幫助、恩惠	= favour (British English)	初級			L2
favorable	adj.	贊同的、有利的		中級			L4
favorite	adj./noun	最喜愛的；最喜愛的人/物	= favourite (British English)	初級		1200	L2
fax	noun/verb	傳真(機)		中級			L4
fear	noun/verb	恐懼、害怕		初級		800	L2
fearful	adj.	恐懼的、擔心的		中高級			L3
feasible	adj.	可行的		中高級			L6
feast	noun/verb	盛宴		中級			L4
feat	noun	功績、英勇事蹟		中高級
feather	noun	羽毛		中級			L3
feature	noun/verb	特色；以…為特色		中級	L2		L2
February	noun	二月	= Feb. 	初級		1200
federal	adj.	聯邦政府的		中級	L6		L5
federation	noun	聯邦政府(制度)聯盟		中高級	L6
fee	noun	費用		初級	L6	800	L2
feeble	adj.	虛弱的、薄弱的		中高級			L6
feed	verb	餵		初級		1200	L1
feedback	noun	回饋		中級			L4
feeder	adj.	支流的		中高級
feeder	noun	餵食器		中高級
feel	verb	感覺		初級		1200	L1
feeling	noun	感覺、感情		初級		800	L2
fellow	noun/adj.	夥伴；同類的、同伴的		初級			L2
fellowship	noun	交情、合夥關係、團體		中高級
female	adj./noun	女性的；女性		初級		800	L2
feminine	adj.	女性(特質)的、陰性的		中高級			L6
feminism	noun	女性主義		中高級
feminist	noun/adj.	女權主義(者的)		中高級
fence	noun	籬笆		初級		800	L3
ferry	noun/verb	渡輪；運送		中級			L4
fertile	adj.	肥沃的、豐富的；可生育的		中級			L4
fertility	noun	肥沃；生殖力		中高級			L6
fertilizer	noun	肥料		中級			L6
festival	noun	節慶		初級		1200	L1
fetch	verb	拿來、取物、接		中級			L4
fetch	noun	(跟狗玩的)丟接遊戲		中級			L4
fever	noun	發燒		初級		1200	L2
